"CEPSA L-D: 24H 0,918 e","CEPSA L-D: 24H 0,918 e",-5.32292,35.89406,,,,
"CEPSA L-D: 06:00-00:00 1,069 e","CEPSA L-D: 06:00-00:00 1,069 e",-5.45144,36.11560,,,,
"CEPSA L-D: 24H 1,076 e","CEPSA L-D: 24H 1,076 e",-5.45142,36.17660,,,,
"CEPSA L-D: 24H 1,076 e","CEPSA L-D: 24H 1,076 e",-5.45192,36.17728,,,,
"CEPSA L-D: 24H 1,088 e","CEPSA L-D: 24H 1,088 e",-5.48972,36.17783,,,,
"CEPSA L-D: 24H 1,072 e","CEPSA L-D: 24H 1,072 e",-5.34986,36.18663,,,,
"CEPSA L-D: 24H 1,074 e","CEPSA L-D: 24H 1,074 e",-5.38573,36.19133,,,,
"CEPSA L-D: 07:00-23:00 1,073 e","CEPSA L-D: 07:00-23:00 1,073 e",-5.43031,36.21065,,,,
"CEPSA L-D: 24H 1,091 e","CEPSA L-D: 24H 1,091 e",-5.28178,36.29666,,,,
"CEPSA L-D: 24H 1,111 e","CEPSA L-D: 24H 1,111 e",-5.26747,36.33261,,,,
"CEPSA L-D: 24H 1,111 e","CEPSA L-D: 24H 1,111 e",-5.26583,36.33300,,,,
"CEPSA Horario Especial 1,070 e","CEPSA Horario Especial 1,070 e",-5.43583,36.42128,,,,
"CEPSA L-D: 07:00-23:00 1,105 e","CEPSA L-D: 07:00-23:00 1,105 e",-5.12350,36.43155,,,,
"CEPSA Carrt. La Barrosa, Chiclana","CEPSA Carrt. La Barrosa, Chiclana",-6.17669,36.39356,,,,
"CEPSA Av. Solano, Chiclana, 956554793","CEPSA Av. Solano, Chiclana, 956554793",-6.14398,36.42687,,,,
"CEPSA L-D: 07:00-23:00 1,091 e","CEPSA L-D: 07:00-23:00 1,091 e",-6.21872,36.45635,,,,
"CEPSA L-D: 24H 1,091 e","CEPSA L-D: 24H 1,091 e",-6.18914,36.46864,,,,
"CEPSA L-D: 24H 1,091 e, Cadiz","CEPSA L-D: 24H 1,091 e, Cadiz",-6.26344,36.49519,,,,
"CEPSA L-D: 06:00-23:00 1,092 e","CEPSA L-D: 06:00-23:00 1,092 e",-6.19303,36.53111,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-4.70953,36.49022,,,,
"CEPSA L-D: 24H 1,100 e","CEPSA L-D: 24H 1,100 e",-4.86458,36.50856,,,,
"CEPSA L-D: 24H 1,102 e","CEPSA L-D: 24H 1,102 e",-4.87378,36.50931,,,,
"CEPSA L-D: 24H 1,092 e","CEPSA L-D: 24H 1,092 e",-4.59896,36.58714,,,,
"CEPSA L-D: 24H 1,081 e","CEPSA L-D: 24H 1,081 e",-6.22286,36.59369,,,,
"CEPSA Horario Especial 1,081 e","CEPSA Horario Especial 1,081 e",-6.20075,36.61681,,,,
"CEPSA L-D: 24H 1,085 e","CEPSA L-D: 24H 1,085 e",-6.36264,36.62247,,,,
"CEPSA Horario Especial 1,083 e","CEPSA Horario Especial 1,083 e",-6.13217,36.66850,,,,
"CEPSA L-D: 07:00-23:00 1,083 e","CEPSA L-D: 07:00-23:00 1,083 e",-6.11700,36.70603,,,,
"CEPSA L-D: 24H 1,083 e","CEPSA L-D: 24H 1,083 e",-6.09519,36.72697,,,,
"CEPSA L-D: 07:00-23:00 1,094 e","CEPSA L-D: 07:00-23:00 1,094 e",-6.04317,36.78125,,,,
"CEPSA L-D: 07:00-23:00 1,100 e","CEPSA L-D: 07:00-23:00 1,100 e",-6.04473,36.78150,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-4.49097,36.64338,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-4.45959,36.68851,,,,
"CEPSA L-D: 24H 1,094 e","CEPSA L-D: 24H 1,094 e",-4.56705,36.70053,,,,
"CEPSA L-D: 24H 1,094 e","CEPSA L-D: 24H 1,094 e",-4.51192,36.71282,,,,
"CEPSA L-D: 24H 1,104 e","CEPSA L-D: 24H 1,104 e",-4.44270,36.70220,,,,
"CEPSA L-D: 24H 1,098 e","CEPSA L-D: 24H 1,098 e",-4.63436,36.71130,,,,
"CEPSA L-D: 06:30-22:30 1,102 e","CEPSA L-D: 06:30-22:30 1,102 e",-4.45777,36.71490,,,,
"CEPSA L-D: 24H 1,098 e","CEPSA L-D: 24H 1,098 e",-4.60649,36.73655,,,,
"CEPSA L-D: 24H 1,100 e","CEPSA L-D: 24H 1,100 e",-3.43589,36.70103,,,,
"CEPSA L-D: 24H 1,100 e","CEPSA L-D: 24H 1,100 e",-3.51383,36.74356,,,,
"CEPSA Horario Especial 1,100 e","CEPSA Horario Especial 1,100 e",-3.54667,36.77622,,,,
"CEPSA L-D: 06:30-22:30 1,100 e","CEPSA L-D: 06:30-22:30 1,100 e",-3.54697,36.77678,,,,
"CEPSA L-D: 06:00-22:00 1,099 e","CEPSA L-D: 06:00-22:00 1,099 e",-4.20005,36.71700,,,,
"CEPSA L-D: 06:30-22:30 1,105 e","CEPSA L-D: 06:30-22:30 1,105 e",-4.18000,36.74331,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-4.12486,36.81094,,,,
"CEPSA L-D: 06:00-22:00 1,063 e","CEPSA L-D: 06:00-22:00 1,063 e",-5.92928,36.72517,,,,
"CEPSA L-D: 06:00-22:00 1,069 e","CEPSA L-D: 06:00-22:00 1,069 e",-5.82292,36.74763,,,,
"CEPSA L-D: 24H 1,069 e","CEPSA L-D: 24H 1,069 e",-5.82239,36.74783,,,,
"CEPSA L-D: 24H 1,086 e","CEPSA L-D: 24H 1,086 e",-6.06578,36.92019,,,,
"CEPSA L-D: 07:00-23:00 1,086 e","CEPSA L-D: 07:00-23:00 1,086 e",-5.16258,36.73382,,,,
"CEPSA L-D: 24H 1,086 e","CEPSA L-D: 24H 1,086 e",-5.15653,36.74770,,,,
"CEPSA L-D: 07:00-23:00 1,086 e","CEPSA L-D: 07:00-23:00 1,086 e",-5.17020,36.75256,,,,
"CEPSA L-D: 06:00-22:00 1,086 e","CEPSA L-D: 06:00-22:00 1,086 e",-5.16235,36.75944,,,,
"CEPSA L-D: 06:00-23:00 1,096 e","CEPSA L-D: 06:00-23:00 1,096 e",-2.61686,36.74131,,,,
"CEPSA L-D: 06:00-23:00 1,096 e","CEPSA L-D: 06:00-23:00 1,096 e",-2.64569,36.75961,,,,
"CEPSA L-D: 07:00-23:00 1,096 e","CEPSA L-D: 07:00-23:00 1,096 e",-2.61342,36.76997,,,,
"CEPSA L-D: 24H 1,096 e","CEPSA L-D: 24H 1,096 e",-2.61337,36.77174,,,,
"CEPSA L-D: 24H 1,096 e","CEPSA L-D: 24H 1,096 e",-2.59292,36.80928,,,,
"CEPSA L-D: 06:00-23:00 1,096 e","CEPSA L-D: 06:00-23:00 1,096 e",-2.49267,36.82944,,,,
"CEPSA L-D: 24H 1,096 e","CEPSA L-D: 24H 1,096 e",-2.46253,36.83350,,,,
"CEPSA L-D: 24H 1,096 e","CEPSA L-D: 24H 1,096 e",-2.45011,36.84586,,,,
"CEPSA L-D: 06:00-23:00 1,096 e","CEPSA L-D: 06:00-23:00 1,096 e",-2.44728,36.85778,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-4.42934,36.89784,,,,
