"449-Bilbao Deusto","-2,95243","43,26878"
"475-Barakaldo Kareaga","-3,00627","43,28722"
"417-Sestao","-3,00541","43,29963"
"403-Gernika","-2,67881","43,3088"
"473-Erandio Axpe","-2,98802","43,3147"
"404-Castro Urdiales ???????????????????","-3,21665","43,37063"
"322-Benicarló","0,427","40,41133"
"4502-Alcañiz Ctra Zaragoza ???????????????","-0,15287","41,05172"
"215-Fraga","0,33828","41,52226"
"258-Zaragoza Goya","-0,89293","41,64502"
"413-Caspe","-0,8644","41,64529"
"428-Via Hispanidad","-0,91881","41,65178"
"436-Madre Rafols","-0,88697","41,65336"
"263-Parque Oriente","-0,85863","41,65616"
"420-Konga","-0,90086","41,66103"
"418-Utebo","-0,99767","41,7012"
"923-Binéfar","0,30804","41,8501"
"481-Tudela","-1,58909","42,03789"
"916-Ejea de los Caballeros","-1,14532","42,12708"
"911-Huesca","-0,38824","42,14203"
"407-Calahorra","-1,95529","42,31056"
"466-Logroño","-2,46559","42,4535"
"431-Vara de Rey","-2,44654","42,45904"
"409-Sabiñánigo","-0,35642","42,51194"
"476-Tafalla","-1,6702","42,53432"
"477-Jaca","-0,52837","42,57628"
"490-Estella","-2,03332","42,66195"
"415-Cordovilla","-1,64116","42,79404"
"489-Burlada","-1,62084","42,82967"
"419-Berriozar","-1,67774","42,83499"
"438-Olaberria","-2,21859","43,03173"
"416-Azkoitia","-2,30537","43,17582"
"457-Eibar","-2,45345","43,18976"
"406-Hernani","-1,9716","43,27031"
"444-Donosti Bretxa (puerta almacén)","-1,98326","43,32425"
"450-Donosti Gros","-1,97195","43,32438"
"321-Vinarós","0,47501","40,48336"
"271-Tortosa","0,51579","40,81625"
"299-Amposta Rotonda","0,57082","40,70653"
"292-Sant Carles de la Ràpita","0,58398","40,61035"
"2016-Roda de Bará","1,48212","41,1781"
"934-Vilafranca del Penedés","1,68329","41,33538"
"214-Vilafranca","1,73343","41,35364"
"927-Gavà","2,00877","41,30321"
"253-Sant Boi de Llobregat","2,03351","41,34503"
"2007-Cornellà  ???????????????","2,0697","41,35363"
"296-El Prat de Llobregat","2,08285","41,32346"
"266-L'Hospitalet de Llobregat","2,10712","41,36164"
"226-Santa Eulalia","2,12941","41,36476"
"2008-Mineria ","2,13969","41,36636"
"247-Berlín","2,14098","41,38414"
"251-Casanova","2,15792","41,38619"
"286-Valldaura","2,16463","41,43893"
"270-Sardenya","2,16918","41,40662"
"240-Maragall","2,17488","41,42588"
"262-Alcudia BCN","2,17496","41,43671"
"918-Gran Via","2,17934","41,39814"
"219-Bcn-Cartagena","2,18074","41,4064"
"250-Escocia","2,18219","41,42872"
"248-Pujades","2,18851","41,39249"
"228-Mallorca","2,19083","41,41514"
"297-Segre","2,19417","41,43174"
"2020-Lope de Vega","2,2032","41,40475"
"906-Santa Coloma Macià (parking)","2,20492","41,45377"
"246-Santa Coloma","2,21535","41,45027"
"2029-Odena","1,63681","41,57832"
"221-Olesa de Montserrat","1,89574","41,53922"
"230-Terrassa","2,02912","41,55915"
"929-Terrassa Les Fonts","2,03594","41,53112"
"243-Sabadell","2,09323","41,54245"
"2014-Sabadell Pg Comerç","2,10907","41,52972"
"235-Ripollet","2,15463","41,49547"
"232-Mollet del Vallés","2,20443","41,54819"
"205-Vic","2,24572","41,92586"
"912-Montornes","2,26675","41,54961"
"252-Granollers St. Julià","2,27733","41,59997"
"2001-La Garriga","2,28406","41,67232"
"242-Granollers","2,30122","41,61031"
"265-El Masnou","2,33932","41,48428"
"260-Mataró","2,43787","41,55431"
"202-Olot","2,4969","42,18738"
"275-Arenys de Mar","2,54098","41,57475"
"930-Santa Susana","2,71144","41,63556"
"204-Blanes","2,77454","41,67754"
"229-Banyoles","2,77578","42,1113"
"928-Salt","2,78543","41,96659"
"261-Girona Mas Xirgu","2,80846","41,96468"
"233-Figueres","2,97316","42,26648"
"287-Sant Feliu de Guixols","3,01972","41,79424"
"905-Platja d'Aro","3,05463","41,80638"
"2013-Calonge","3,09847","41,84655"
"908-Empuriabrava","3,10731","42,2564"
"2021-Escala","3,12305","42,12531"
"269-Roses","3,14789","42,27193"
"909-Torroella de Montgrí","3,17738","42,04914"
